client_id,client_type,client_name,owner_name,specialty_type,address,governorate,delegation,latitude,longitude,phone,patients_per_month,last_visit_date,total_visits,engagement_level,preferred_products,languages,days_since_last_visit,weeks_since_last_visit,months_since_last_visit,last_visit_month,recency_category,engagement_score_num,specialty_macro,languages_list,nb_languages,speaks_french,speaks_arabic,speaks_english,primary_language,preferred_products_list,nb_preferred_products,is_multi_product,gps_valid,distance_from_tunis_km,is_pharmacy,is_doctor,is_specialist,crm_segment,patient_volume_category,patients_normalized,visit_frequency_rec,max_visit_interval_days,visit_overdue,visit_priority_score
CLI0096,Pharmacie,Pharmacie de la Paix,Fatma Gharbi,Pharmacie de Nuit,"83 Avenue de la Liberté, Kalâat el-Andalous, Ariana",Ariana,Kalâat El-Andalous,36.889497,10.20378,+216 98 646 195,1123,2025-12-08,9,Faible,"PédiaKids Gelée royale, PHYTOFANE Lotion anti chute, Hydra eau micellaire",Français,75,10.7,2.5,2025-12,À relancer (61-90j),1,Pharmacie,['Français'],1,1,0,0,Français,"['PédiaKids Gelée royale', 'PHYTOFANE Lotion anti chute', 'Hydra eau micellaire']",3,1,1,8.54,1,0,0,Pharmacie À Développer,Fréquentation moyenne,0.113,Trimestriel,90,0,5.04
CLI0111,Pharmacie,Para-Pharmacie de la République,Nadia Sassi,Pharmacie Générale,"127 Avenue de Carthage, Mnihla, Ariana",Ariana,Mnihla,36.800843,10.154567,+216 63 909 402,2154,2025-12-31,17,Moyen,"PHYTOFANE Lotion anti chute, Echinacée, Zinc, Vit.C, Hydra eau micellaire","Français, Arabe",52,7.4,1.7,2025-12,Normal (31-60j),2,Médecine Générale,"['Français', 'Arabe']",2,1,1,0,Français,"['PHYTOFANE Lotion anti chute', 'Echinacée', 'Zinc', 'Vit.C', 'Hydra eau micellaire']",5,1,1,2.25,1,0,0,Pharmacie Active,Haute fréquentation,0.499,Trimestriel,90,0,3.87
CLI0115,Pharmacie,Pharmacie de la Liberté,Nadia Sassi,Pharmacie Générale,"52 Rue de la République, Kalâat el-Andalous, Ariana",Ariana,Kalâat El-Andalous,36.765624,10.204068,+216 77 928 156,1641,2025-09-14,18,Faible,LV CYSPROTECT,"Français, Arabe, Anglais, Italien",160,22.9,5.3,2025-09,Urgence (>90j),1,Médecine Générale,"['Français', 'Arabe', 'Anglais', 'Italien']",4,1,1,1,Français,['LV CYSPROTECT'],1,0,1,6.84,1,0,0,Pharmacie À Développer,Haute fréquentation,0.307,Trimestriel,90,1,6.45
CLI0117,Pharmacie,Pharmacie de la Paix,Youssef Gharbi,Parapharmacie,"197 Avenue de Carthage, Raoued, Ariana",Ariana,Raoued,36.828305,10.245858,+216 37 769 980,2333,2025-11-05,17,Faible,"LV Sélénium A, C, E Anti-âge, LV Fersang junior","Français, Arabe, Anglais, Italien",108,15.4,3.5,2025-11,Urgence (>90j),1,Pharmacie,"['Français', 'Arabe', 'Anglais', 'Italien']",4,1,1,1,Français,"['LV Sélénium A', 'C', 'E Anti-âge', 'LV Fersang junior']",4,1,1,7.2,1,0,0,Pharmacie À Développer,Haute fréquentation,0.566,Trimestriel,90,1,6.26
CLI0125,Pharmacie,Para-Pharmacie Populaire,Leila Mansouri,Pharmacie de Quartier,"95 Rue du 20 Mars, La Soukra, Ariana",Ariana,La Soukra,36.709143,10.272817,+216 39 300 437,866,2025-12-06,20,Faible,"TC 2000 Nutractiva, Echinacée, Zinc, Vit.C, LV Sélénium A, C, E Anti-âge",Français,77,11.0,2.5,2025-12,À relancer (61-90j),1,Pharmacie,['Français'],1,1,0,0,Français,"['TC 2000 Nutractiva', 'Echinacée', 'Zinc', 'Vit.C', 'LV Sélénium A', 'C', 'E Anti-âge']",7,1,1,15.5,1,0,0,Pharmacie À Développer,Fréquentation moyenne,0.017,Trimestriel,90,0,4.17
CLI0127,Pharmacie,Pharmacie Populaire,Mohamed Hamdi,Parapharmacie,"36 Avenue Habib Bourguiba, La Soukra, Ariana",Ariana,La Soukra,36.841434,10.101828,+216 22 106 644,2328,2026-01-26,22,Élevé,"OLIGOVIT Trio, TC 2000 Nutractiva, Omevie Omega 3 – 1000",Arabe,26,3.7,0.9,2026-01,Récent (≤30j),3,Pharmacie,['Arabe'],1,0,1,0,Arabe,"['OLIGOVIT Trio', 'TC 2000 Nutractiva', 'Omevie Omega 3 – 1000']",3,1,1,6.22,1,0,0,Pharmacie Partenaire,Haute fréquentation,0.564,Mensuel,30,0,2.29
CLI0131,Pharmacie,Para-Pharmacie de la Victoire,Rami Ben Ali,Parapharmacie,"46 Avenue Habib Bourguiba, Sidi Thabet, Ariana",Ariana,Sidi Thabet,36.892294,10.217407,+216 62 493 873,1115,2025-11-26,8,Faible,"Vitonic Tonus, TC 2000 Nutractiva, LV Sélénium A, C, E Anti-âge","Français, Arabe, Anglais, Italien",87,12.4,2.9,2025-11,À relancer (61-90j),1,Pharmacie,"['Français', 'Arabe', 'Anglais', 'Italien']",4,1,1,1,Français,"['Vitonic Tonus', 'TC 2000 Nutractiva', 'LV Sélénium A', 'C', 'E Anti-âge']",5,1,1,9.35,1,0,0,Pharmacie À Développer,Fréquentation moyenne,0.11,Trimestriel,90,0,5.29
CLI0151,Cabinet Médical,Dr. Fatma Farhat,Dr. Fatma Farhat,Pneumologie,"Cabinet Médical, 101 Rue du 20 Mars, Hammam Lif, Ben Arous",Ben Arous,Hammam Lif,36.728434,10.22648,+216 71 627 867,792,2025-10-22,14,Faible,"LV Fersang junior, OLIGOVIT Trio","Français, Arabe",122,17.4,4.0,2025-10,Urgence (>90j),1,Pneumologie,"['Français', 'Arabe']",2,1,1,0,Français,"['LV Fersang junior', 'OLIGOVIT Trio']",2,1,1,11.43,0,1,1,Médecin À Conquérir,Cabinet très actif,0.989,Bi-mensuel,15,1,7.74
CLI0154,Cabinet Médical,Pr. Mohamed Ghariani,Pr. Mohamed Ghariani,Pédiatrie,"Centre Médical, 34 Rue Ibn Khaldoun, Mégrine, Ben Arous",Ben Arous,Mégrine,36.760373,10.274885,+216 26 505 740,430,2026-01-13,13,Élevé,"LV Fersang junior, Huile de Menthe","Français, Arabe, Anglais",39,5.6,1.3,2026-01,Normal (31-60j),3,Pédiatrie,"['Français', 'Arabe', 'Anglais']",3,1,1,1,Français,"['LV Fersang junior', 'Huile de Menthe']",2,1,1,11.7,0,1,1,Médecin Champion,Cabinet actif,0.427,Mensuel,30,1,2.71
CLI0156,Cabinet Médical,Dr. Sonia Ghariani,Dr. Sonia Ghariani,Cardiologie,"Centre Médical, 27 Avenue Habib Bourguiba, Mégrine, Ben Arous",Ben Arous,Mégrine,36.76267,10.276198,+216 92 108 724,290,2025-10-31,6,Faible,"OLIGOVIT Trio, Hydra eau micellaire, LV Fersang junior","Français, Arabe, Anglais, Italien",113,16.1,3.7,2025-10,Urgence (>90j),1,Cardiologie,"['Français', 'Arabe', 'Anglais', 'Italien']",4,1,1,1,Français,"['OLIGOVIT Trio', 'Hydra eau micellaire', 'LV Fersang junior']",3,1,1,11.66,0,1,1,Médecin À Conquérir,Cabinet modéré,0.21,Trimestriel,90,1,6.11
CLI0157,Cabinet Médical,Pr. Sonia Chouchane,Pr. Sonia Chouchane,ORL,"Centre Médical, 114 Avenue de Carthage, Mégrine, Ben Arous",Ben Arous,Mégrine,36.743449,10.279319,+216 51 383 760,293,2026-01-05,14,Moyen,"LV Sélénium A, C, E Anti-âge, Huile de Menthe","Français, Arabe, Anglais",47,6.7,1.5,2026-01,Normal (31-60j),2,ORL,"['Français', 'Arabe', 'Anglais']",3,1,1,1,Français,"['LV Sélénium A', 'C', 'E Anti-âge', 'Huile de Menthe']",4,1,1,13.14,0,1,1,Médecin Développement,Cabinet modéré,0.214,Trimestriel,90,0,3.26
CLI0162,Cabinet Médical,Dr. Amira Farhat,Dr. Amira Farhat,Neurologie,"Centre Médical, 67 Rue de la République, Ben Arous, Ben Arous",Ben Arous,Ben Arous,36.774374,10.249955,+216 54 636 165,425,2025-08-02,5,Faible,Huile de Menthe,Arabe,203,29.0,6.7,2025-08,Urgence (>90j),1,Neurologie,['Arabe'],1,0,1,0,Arabe,['Huile de Menthe'],1,0,1,8.99,0,1,1,Médecin À Conquérir,Cabinet actif,0.419,Trimestriel,90,1,8.25
CLI0177,Cabinet Médical,Dr. Amira Jemni,Dr. Amira Jemni,Gynécologie,"Cabinet Médical, 126 Avenue Habib Bourguiba, Fouchana, Ben Arous",Ben Arous,Fouchana,36.718051,10.146525,+216 45 925 233,374,2026-01-31,18,Élevé,"LV Vitamine A, Huile de Menthe","Français, Arabe, Anglais, Italien",21,3.0,0.7,2026-01,Récent (≤30j),3,Gynécologie,"['Français', 'Arabe', 'Anglais', 'Italien']",4,1,1,1,Français,"['LV Vitamine A', 'Huile de Menthe']",2,1,1,11.36,0,1,1,Médecin Champion,Cabinet actif,0.34,Mensuel,30,0,1.88
CLI0179,Cabinet Médical,Pr. Amira Farhat,Pr. Amira Farhat,Dermatologie,"Centre Médical, 144 Rue Ibn Khaldoun, Hammam Lif, Ben Arous",Ben Arous,Hammam Lif,36.87792,10.222742,+216 36 281 846,515,2025-12-10,7,Moyen,"PHYTOFANE Lotion anti chute, Echinacée, Zinc, Vit.C",Français,73,10.4,2.4,2025-12,À relancer (61-90j),2,Dermatologie,['Français'],1,1,0,0,Français,"['PHYTOFANE Lotion anti chute', 'Echinacée', 'Zinc', 'Vit.C']",4,1,1,8.28,0,1,1,Médecin Développement,Cabinet actif,0.559,Bi-mensuel,15,1,4.99
CLI0181,Cabinet Médical,Dr. Leila Hammami,Dr. Leila Hammami,Médecine Générale,"Clinique, 54 Rue de la République, Mornag, Ben Arous",Ben Arous,Mornag,36.838635,10.170096,+216 73 270 523,260,2025-08-05,2,Faible,"LV Sélénium A, C, E Anti-âge",Arabe,200,28.6,6.6,2025-08,Urgence (>90j),1,Médecine Générale,['Arabe'],1,0,1,0,Arabe,"['LV Sélénium A', 'C', 'E Anti-âge']",3,1,1,2.22,0,1,0,Médecin À Conquérir,Cabinet modéré,0.163,Trimestriel,90,1,7.74
CLI0183,Cabinet Médical,Dr. Ahmed Jemni,Dr. Ahmed Jemni,Cardiologie,"Clinique, 124 Rue Ibn Khaldoun, Radès, Ben Arous",Ben Arous,Radès,36.706199,10.288488,+216 62 310 294,318,2025-09-03,15,Faible,LV Vitamine A,"Français, Arabe",171,24.4,5.6,2025-09,Urgence (>90j),1,Cardiologie,"['Français', 'Arabe']",2,1,1,0,Français,['LV Vitamine A'],1,0,1,16.64,0,1,1,Médecin À Conquérir,Cabinet modéré,0.253,Trimestriel,90,1,6.68
CLI0198,Cabinet Médical,Pr. Karim Elloumi,Pr. Karim Elloumi,ORL,"Clinique, 100 Rue Ibn Khaldoun, Ben Arous, Ben Arous",Ben Arous,Ben Arous,36.707064,10.241614,+216 80 787 467,735,2025-12-19,12,Moyen,"Echinacée, Zinc, Vit.C, Vitonic Tonus, OLIGOVIT Trio","Français, Arabe, Anglais, Italien",64,9.1,2.1,2025-12,À relancer (61-90j),2,ORL,"['Français', 'Arabe', 'Anglais', 'Italien']",4,1,1,1,Français,"['Echinacée', 'Zinc', 'Vit.C', 'Vitonic Tonus', 'OLIGOVIT Trio']",5,1,1,14.16,0,1,1,Médecin Développement,Cabinet très actif,0.901,Bi-mensuel,15,1,5.39
CLI0229,Cabinet Médical,Pr. Leila Amari,Pr. Leila Amari,Cardiologie,"Cabinet Médical, 14 Rue de la République, Ben Arous, Ben Arous",Ben Arous,Ben Arous,36.858843,10.211617,+216 75 423 117,738,2025-12-09,10,Moyen,"LV Sélénium A, C, E Anti-âge, Omevie Omega 3 – 1000",Arabe,74,10.6,2.4,2025-12,À relancer (61-90j),2,Cardiologie,['Arabe'],1,0,1,0,Arabe,"['LV Sélénium A', 'C', 'E Anti-âge', 'Omevie Omega 3 – 1000']",4,1,1,6.02,0,1,1,Médecin Développement,Cabinet très actif,0.905,Bi-mensuel,15,1,5.69
CLI0033,Pharmacie,Pharmacie Populaire,Fatma Bouaziz,Parapharmacie,"28 Avenue de la Liberté, Fouchana, Ben Arous",Ben Arous,Fouchana,36.815159,10.281605,+216 33 813 891,2424,2025-12-22,5,Faible,"Echinacée, Zinc, Vit.C, LV Fersang Gélule, OLIGOVIT Trio","Français, Arabe, Anglais",61,8.7,2.0,2025-12,À relancer (61-90j),1,Pharmacie,"['Français', 'Arabe', 'Anglais']",3,1,1,1,Français,"['Echinacée', 'Zinc', 'Vit.C', 'LV Fersang Gélule', 'OLIGOVIT Trio']",5,1,1,10.32,1,0,0,Pharmacie À Développer,Haute fréquentation,0.6,Trimestriel,90,0,6.25
CLI0045,Pharmacie,Para-Pharmacie du Soleil,Fatma Abidi,Pharmacie de Nuit,"112 Avenue Habib Bourguiba, Mégrine, Ben Arous",Ben Arous,Mégrine,36.794002,10.18167,+216 71 933 878,1228,2025-12-31,13,Moyen,"Echinacée, Zinc, Vit.C, Omevie Omega 3 – 1000",Français,52,7.4,1.7,2025-12,Normal (31-60j),2,Pharmacie,['Français'],1,1,0,0,Français,"['Echinacée', 'Zinc', 'Vit.C', 'Omevie Omega 3 – 1000']",4,1,1,3.12,1,0,0,Pharmacie Active,Fréquentation moyenne,0.152,Trimestriel,90,0,3.25
CLI0063,Pharmacie,Pharmacie El Menzah,Youssef Sassi,Pharmacie Générale,"30 Rue du 20 Mars, Bou Mhel el-Bassatine, Ben Arous",Ben Arous,Bou Mhel El-Bassatine,36.789655,10.172408,+216 58 569 758,2651,2025-10-05,10,Faible,"LV Vitamine A, Echinacée, Zinc, Vit.C, LV Psolcalm","Français, Arabe, Anglais, Italien",139,19.9,4.6,2025-10,Urgence (>90j),1,Médecine Générale,"['Français', 'Arabe', 'Anglais', 'Italien']",4,1,1,1,Français,"['LV Vitamine A', 'Echinacée', 'Zinc', 'Vit.C', 'LV Psolcalm']",5,1,1,3.32,1,0,0,Pharmacie À Développer,Haute fréquentation,0.685,Trimestriel,90,1,7.51
CLI0080,Pharmacie,Para-Pharmacie de Nuit,Ahmed Sassi,Pharmacie de Quartier,"198 Rue Ibn Khaldoun, El Mourouj, Ben Arous",Ben Arous,El Mourouj,36.767353,10.253262,+216 41 838 548,3246,2025-11-06,7,Faible,Hydra eau micellaire,"Français, Arabe, Anglais, Italien",107,15.3,3.5,2025-11,Urgence (>90j),1,Pharmacie,"['Français', 'Arabe', 'Anglais', 'Italien']",4,1,1,1,Français,['Hydra eau micellaire'],1,0,1,9.68,1,0,0,Pharmacie À Développer,Très haute fréquentation,0.907,Bi-mensuel,15,1,7.69
CLI0083,Pharmacie,Pharmacie de la Santé,Amira Cherif,Parapharmacie,"7 Avenue Habib Bourguiba, Radès, Ben Arous",Ben Arous,Radès,36.779291,10.174792,+216 62 910 249,1134,2025-11-07,10,Faible,Huile de Menthe,"Français, Arabe",106,15.1,3.5,2025-11,Urgence (>90j),1,Pharmacie,"['Français', 'Arabe']",2,1,1,0,Français,['Huile de Menthe'],1,0,1,4.49,1,0,0,Pharmacie À Développer,Fréquentation moyenne,0.117,Trimestriel,90,1,5.52
CLI0084,Pharmacie,Para-Pharmacie de Garde,Amira Gharbi,Pharmacie Générale,"195 Rue du 20 Mars, Ben Arous, Ben Arous",Ben Arous,Ben Arous,36.82307,10.281171,+216 34 894 395,1848,2025-12-17,7,Faible,"Echinacée, Zinc, Vit.C, TC 2000 Nutractiva, PédiaKids Gelée royale",Arabe,66,9.4,2.2,2025-12,À relancer (61-90j),1,Médecine Générale,['Arabe'],1,0,1,0,Arabe,"['Echinacée', 'Zinc', 'Vit.C', 'TC 2000 Nutractiva', 'PédiaKids Gelée royale']",5,1,1,10.28,1,0,0,Pharmacie À Développer,Haute fréquentation,0.384,Trimestriel,90,0,5.68
CLI0090,Pharmacie,Para-Pharmacie Moderne,Ahmed Trabelsi,Pharmacie de Quartier,"84 Avenue de la Liberté, Mohamedia, Ben Arous",Ben Arous,Mohamedia,36.789183,10.243533,+216 98 545 381,2618,2025-11-13,17,Faible,"Echinacée, Zinc, Vit.C",Français,100,14.3,3.3,2025-11,Urgence (>90j),1,Pharmacie,['Français'],1,1,0,0,Français,"['Echinacée', 'Zinc', 'Vit.C']",3,1,1,7.67,1,0,0,Pharmacie À Développer,Haute fréquentation,0.672,Trimestriel,90,1,6.38
CLI0094,Pharmacie,Pharmacie Monplaisir,Sonia Gharbi,Parapharmacie,"61 Avenue Habib Bourguiba, Ezzahra, Ben Arous",Ben Arous,Ezzahra,36.772179,10.214455,+216 70 834 836,3059,2026-01-08,22,Moyen,LV Fersang junior,Français,44,6.3,1.4,2026-01,Normal (31-60j),2,Pharmacie,['Français'],1,1,0,0,Français,['LV Fersang junior'],1,0,1,6.77,1,0,0,Pharmacie Active,Très haute fréquentation,0.837,Bi-mensuel,15,1,4.28
CLI0100,Pharmacie,Para-Pharmacie Carthage,Fatma Khelifi,Pharmacie Générale,"132 Rue du 20 Mars, Ezzahra, Ben Arous",Ben Arous,Ezzahra,36.875815,10.199474,+216 65 149 151,2410,2025-10-04,17,Faible,Vitonic Tonus,"Français, Arabe, Anglais, Italien",140,20.0,4.6,2025-10,Urgence (>90j),1,Médecine Générale,"['Français', 'Arabe', 'Anglais', 'Italien']",4,1,1,1,Français,['Vitonic Tonus'],1,0,1,6.99,1,0,0,Pharmacie À Développer,Haute fréquentation,0.594,Trimestriel,90,1,6.88
CLI0119,Pharmacie,Pharmacie Familiale,Ahmed Ben Ali,Pharmacie Générale,"170 Avenue Mohamed V, Bou Mhel el-Bassatine, Ben Arous",Ben Arous,Bou Mhel El-Bassatine,36.853211,10.276751,+216 77 712 788,1785,2025-12-20,5,Faible,TC 2000 Nutractiva,"Français, Arabe",63,9.0,2.1,2025-12,À relancer (61-90j),1,Médecine Générale,"['Français', 'Arabe']",2,1,1,0,Français,['TC 2000 Nutractiva'],1,0,1,10.58,1,0,0,Pharmacie À Développer,Haute fréquentation,0.361,Trimestriel,90,0,5.69
CLI0121,Pharmacie,Pharmacie du Centre,Karim Bouaziz,Pharmacie Générale,"16 Rue Ibn Khaldoun, Mornag, Ben Arous",Ben Arous,Mornag,36.83575,10.21117,+216 73 518 252,2210,2025-08-30,24,Faible,"LV Psolcalm, PédiaKids Gelée royale",Français,175,25.0,5.7,2025-08,Urgence (>90j),1,Médecine Générale,['Français'],1,1,0,0,Français,"['LV Psolcalm', 'PédiaKids Gelée royale']",2,1,1,4.45,1,0,0,Pharmacie À Développer,Haute fréquentation,0.52,Trimestriel,90,1,6.88
