rep_id,rep_name,total_sessions,first_score,last_score,best_score,avg_score,avg_rolling_score,total_improvement,avg_improvement_per_sess,learning_slope,stagnation_sessions,pct_competent,total_training_min,avg_duration,avg_attempts,avg_efficiency,first_attempt_successes,max_difficulty,current_cert_rank,current_cert_status,coaching_intensive_pct,nb_simulations_pharm,nb_simulations_med,nb_simulations_complex,last_session_date,last_difficulty,last_progress_status,improvement_pct,training_hours,learning_trajectory,training_rank,roi_score_per_hour,coaching_dependency
REP008,Amira Khelifi,11,4.8,5.3,5.3,4.98,5.13,0.5,0.05,0.0382,0,0.0,376,34.18181818181818,2.09,1.7,0,3,0,En formation,1.0,6,5,0,2025-12-21,Avancé,Nécessite pratique,10.4,6.3,Progression lente,16,0.078,1.0
REP019,Fares Guesmi,14,5.2,5.2,5.4,4.92,5.0,0.0,-0.0,-0.0165,1,0.0,412,29.428571428571427,1.79,1.58,0,3,0,En formation,1.0,6,4,4,2026-01-13,Avancé,Nécessite pratique,0.0,6.9,Régression,17,0.0,1.0
REP007,Youssef Hamdi,13,4.8,5.2,5.4,4.91,5.0,0.4,0.03,-0.0088,1,0.0,415,31.923076923076923,2.77,1.04,0,3,0,En formation,1.0,8,1,4,2026-01-08,Avancé,Nécessite pratique,8.3,6.9,Régression,18,0.057,1.0
REP013,Hichem Dridi,13,4.5,4.9,5.3,4.64,4.7,0.4,0.03,-0.0104,2,0.0,352,27.076923076923077,2.38,1.18,0,3,0,En formation,1.0,7,5,1,2025-12-30,Avancé,Nécessite pratique,8.9,5.9,Régression,19,0.067,1.0
REP022,Dorra Kilani,12,4.7,4.7,4.9,4.6,4.63,0.0,0.0,-0.0161,1,0.0,323,26.916666666666668,2.5,1.38,0,3,0,En formation,1.0,6,5,1,2025-12-30,Avancé,Nécessite pratique,0.0,5.4,Régression,20,0.0,1.0
REP025,Sami Zaouali,14,4.6,4.9,4.9,4.56,4.8,0.3,0.02,0.0121,6,0.0,417,29.785714285714285,2.14,1.28,0,3,0,En formation,1.0,8,2,4,2026-01-13,Avancé,Nécessite pratique,6.5,7.0,Stagnation persistante,21,0.042,1.0
REP004,Sonia Mansouri,15,4.3,4.6,4.6,4.21,4.53,0.3,0.02,0.0171,3,0.0,409,27.266666666666666,1.8,1.34,0,3,0,En formation,1.0,6,4,5,2026-01-29,Avancé,Nécessite pratique,7.0,6.8,Stagnation persistante,22,0.043,1.0
REP016,Hajer Toumi,15,3.5,4.5,4.5,3.97,4.37,1.0,0.07,0.0446,3,0.0,487,32.46666666666667,1.67,1.4,0,3,0,En formation,1.0,7,3,5,2026-01-29,Avancé,Nécessite pratique,28.6,8.1,Stagnation persistante,23,0.122,1.0
REP010,Nadia Sassi,14,3.5,4.2,4.2,3.78,4.13,0.7,0.05,0.0389,5,0.0,440,31.428571428571427,2.36,0.99,0,3,0,En formation,1.0,6,4,4,2026-01-29,Avancé,Nécessite pratique,20.0,7.3,Stagnation persistante,24,0.095,1.0
REP001,Ahmed Ben Ali,12,3.7,4.0,4.1,3.75,4.0,0.3,0.03,0.0259,2,0.0,342,28.5,2.25,1.16,0,3,0,En formation,1.0,6,4,2,2025-12-12,Avancé,Nécessite pratique,8.1,5.7,Progression lente,25,0.052,1.0
